roc_year,gregorian_year,group,paper_key,question_count,expected_question_count,is_complete,missing_question_numbers
100,2011,醫學（一）,100030-1101,100,100,yes,
100,2011,醫學（一）,100140-1101,100,100,yes,
100,2011,醫學（二）,100030-2101,99,100,no,73
100,2011,醫學（二）,100140-2101,100,100,yes,
101,2012,醫學（一）,101030-1101,100,100,yes,
101,2012,醫學（一）,101110-1101,100,100,yes,
101,2012,醫學（二）,101030-2101,100,100,yes,
101,2012,醫學（二）,101110-2101,100,100,yes,
102,2013,醫學（一）,102030-1101,100,100,yes,
102,2013,醫學（一）,102110-1101,100,100,yes,
102,2013,醫學（二）,102030-2101,100,100,yes,
102,2013,醫學（二）,102110-2101,100,100,yes,
103,2014,醫學（一）,103030-1101,100,100,yes,
103,2014,醫學（一）,103100-1101,100,100,yes,
103,2014,醫學（二）,103030-2101,100,100,yes,
103,2014,醫學（二）,103100-2101,100,100,yes,
104,2015,醫學（一）,104030-1101,100,100,yes,
104,2015,醫學（一）,104090-5301,100,100,yes,
104,2015,醫學（二）,104030-2101,100,100,yes,
104,2015,醫學（二）,104090-6301,100,100,yes,
105,2016,醫學（一）,105020-5301,100,100,yes,
105,2016,醫學（一）,105100-5301,100,100,yes,
105,2016,醫學（二）,105020-6301,100,100,yes,
105,2016,醫學（二）,105100-6301,100,100,yes,
106,2017,醫學（一）,106020-5301,100,100,yes,
106,2017,醫學（一）,106100-1301,100,100,yes,
106,2017,醫學（二）,106020-6301,100,100,yes,
106,2017,醫學（二）,106100-2301,100,100,yes,
107,2018,醫學（一）,107020-5301,100,100,yes,
107,2018,醫學（一）,107100-1301,100,100,yes,
107,2018,醫學（二）,107020-6301,100,100,yes,
107,2018,醫學（二）,107100-2301,100,100,yes,
108,2019,醫學（一）,108030-1301,100,100,yes,
108,2019,醫學（一）,108100-1301,100,100,yes,
108,2019,醫學（二）,108030-2301,100,100,yes,
108,2019,醫學（二）,108100-2301,100,100,yes,
109,2020,醫學（一）,109020-1301,100,100,yes,
109,2020,醫學（一）,109100-1301,100,100,yes,
109,2020,醫學（二）,109020-2301,100,100,yes,
109,2020,醫學（二）,109100-2301,100,100,yes,
110,2021,醫學（一）,110020-1301,100,100,yes,
110,2021,醫學（一）,110101-1301,100,100,yes,
110,2021,醫學（二）,110020-2301,100,100,yes,
110,2021,醫學（二）,110101-2301,100,100,yes,
111,2022,醫學（一）,111020-1301,100,100,yes,
111,2022,醫學（一）,111100-1301,97,100,no,"40,62,65"
111,2022,醫學（二）,111020-2301,100,100,yes,
111,2022,醫學（二）,111100-2301,100,100,yes,
112,2023,醫學（一）,112020-1301,100,100,yes,
112,2023,醫學（一）,112100-1301,100,100,yes,
112,2023,醫學（二）,112020-2301,100,100,yes,
112,2023,醫學（二）,112100-2301,100,100,yes,
113,2024,醫學（一）,113020-1301,100,100,yes,
113,2024,醫學（一）,113090-1301,100,100,yes,
113,2024,醫學（二）,113020-2301,100,100,yes,
113,2024,醫學（二）,113090-2301,100,100,yes,
114,2025,醫學（一）,114020-1301,100,100,yes,
114,2025,醫學（一）,114090-1301,98,100,no,"49,94"
114,2025,醫學（二）,114020-2301,100,100,yes,
114,2025,醫學（二）,114090-2301,100,100,yes,
115,2026,醫學（一）,115020-1301,99,100,no,66
115,2026,醫學（二）,115020-2301,100,100,yes,
